
SUBSTR(T.CALLER,1,7)					   COUNT(*)
0096277 							725
0096278 							732
0096279 						       6337
0096392 						       1872
0096393 						       1231
0096394 							781
0096395 							823

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0096396 						       1530
0096398 						       1966
0096399 							231
0096477 							  2
0096560 							 10
0096561 							 30
0096562 							 34
0096563 							 10
0096564 							 29
0096565 							 13
0096566 							 31

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0096567 							  5
0096568 							 20
0096569 							  9
0096570 							 11
0096571 							 73
0096572 							 99
0096573 							 66
0096574 							 39
0096575 							 25
0096576 							 46
0096577 							  7

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0096578 							 31
0096579 							 89
0096590 							 58
0096591 							 42
0096592 							 63
0096593 							 44
0096594 							 83
0096595 							 44
0096596 							 72
0096597 							 54
0096598 							 43

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0096650 							823
0096655 							443
0096656 							189
0096771 							219
0096773 							256
0096777 							  4
0096892 							119
0096895 							 43
0096899 							 51
0097143 							  3
0097150 						       2899

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0097252 							 11
0097254 							 34
0097259 							184
0097336 							156
0097339 							125
0097451 							  2
0097452 							  8
0097453 							 18
0097454 							 22
0097455 							 11
0097456 							 20

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0097457 							 15
0097458 							 26
0097459 							 10
0097465 							 10
0097798 							  9
0098300 							  5
0098500 							 21
0098911 							 13
0098912 							773
0098913 							 34
0098914 							227

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
0098915 							 40
0098916 							 51
0098917 							 72
0098918 							909
0114917 							  2
0d2247a 							  8
0d2a47a 							  1
0d47b1e 							  4
1000000 							  1
1001005 							  1
1010100 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
1020598 							  2
1050032 							  8
1050039 							  2
1110410 							  1
1111301 							 14
1111487 							  2
1270317 							  1
1337353 							  1
1337378 							  2
1403561 							  1
1416276 							  1

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
1416402 							 10
1416666 							  1
1416726 							  1
1416816 							  1
14324d9 							  1
146286a 							  1
1466058 							  1
1466098 							  1
1466bc8 							  3
146703e 							  1
146783e 							 32

SUBSTR(T.CALLER,1,7)					   COUNT(*)
-------------------------------------------------------- ----------
146a238 							  1
146b23c 							  1
146b93c 							  9
146e438 							  1
14762b9 							  2
1479841 							  3
147d0d5 							  1
1480235 							  2
14b793c 							  1
1503544 							  1
1518322 							 16

